experiment_id,domain,value_head,seed,seed_role,stage1_final_score,stage2_selected_score,paired_change,stage2_selected_epoch,stage1_checkpoint,stage2_checkpoint,stage1_training_log,stage1_evaluation_log,stage2_training_job_id,stage2_evaluation_job_id,stage2_evaluation_log
PRESERVE-3-TERM,delivery,on,2082152039,held_out,9,20.0,11.0,82,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:03:24.162624/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911497-faf7d6/snapshots/snapshot_55_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T17:31:36.257688/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921245-faf7d6/snapshots/snapshot_82_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522919_Tr_delivery_delivery_orig_vh_c.1_s2082152039__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544424_Ev_delivery_delivery_orig_vh_c.1_s2082152039_CD4P_src20522919_e0055.txt,20755740,20860240,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_on_delivery/20860240_Ev_delivery_delivery_mcts_orig_vh_c.1_s2082152039_K0_P3T_delivery_on_src20755740_e0082.txt
PRESERVE-3-TERM,tpp,off,534933607,held_out,5,2.0,-3.0,90,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:18:01.542289/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911932-3c74d66/snapshots/snapshot_62_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:44:13.010972/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917238-3c74d66/snapshots/snapshot_90_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523050_Tr_tpp_tpp_orig_novh_c.1_s534933607__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544539_Ev_tpp_tpp_orig_novh_c.1_s534933607_CD4P_src20523050_e0062.txt,20755741,20943753,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943753_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0090.txt
PRESERVE-3-TERM,tpp,off,923500475,held_out,20,18.0,-2.0,79,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:51:49.243266/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911966-5194f74/snapshots/snapshot_72_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:00:06.564478/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921274-5194f74/snapshots/snapshot_79_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523059_Tr_tpp_tpp_orig_novh_c.1_s923500475__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546073_Ev_tpp_tpp_orig_novh_c.1_s923500475_CD4P_src20523059_e0072.txt,20755743,20890711,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890711_Ev_tpp_tpp_mcts_orig_novh_c.1_s923500475_K0_P4TPPS2P_src20755743_e0079.txt
PRESERVE-3-TERM,tpp,off,1073581256,held_out,20,20.0,0.0,1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:56:19.498678/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911910-1247c09/snapshots/snapshot_51_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T17:33:24.871385/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921247-1247c09/snapshots/snapshot_1_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523041_Tr_tpp_tpp_orig_novh_c.1_s1073581256__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541844_Ev_tpp_tpp_orig_novh_c.1_s1073581256_CD4P_src20523041_e0051.txt,20755744,20890718,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890718_Ev_tpp_tpp_mcts_orig_novh_c.1_s1073581256_K0_P4TPPS2P_src20755744_e0001.txt
PRESERVE-3-TERM,tpp,off,1239739722,held_out,6,16.0,10.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:00:18.492230/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911914-7d9a779/snapshots/snapshot_51_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T22:55:35.859763/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917249-7d9a779/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523044_Tr_tpp_tpp_orig_novh_c.1_s1239739722__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544525_Ev_tpp_tpp_orig_novh_c.1_s1239739722_CD4P_src20523044_e0051.txt,20755745,20890740,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890740_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0000.txt
PRESERVE-3-TERM,tpp,off,1472491096,held_out,20,20.0,0.0,24,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:10:05.633138/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911924-43e0a7a/snapshots/snapshot_51_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:04:22.718999/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921278-43e0a7a/snapshots/snapshot_24_0.7500",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523047_Tr_tpp_tpp_orig_novh_c.1_s1472491096__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541856_Ev_tpp_tpp_orig_novh_c.1_s1472491096_CD4P_src20523047_e0051.txt,20755746,20944836,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944836_Ev_tpp_tpp_mcts_orig_novh_c.1_s1472491096_K0_P4TPPS2P_src20755746_e0024.txt
PRESERVE-3-TERM,tpp,off,1510771779,held_out,20,20.0,0.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:37:26.818356/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911951-17cc32a/snapshots/snapshot_51_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-28T23:01:54.640591/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04917256-17cc32a/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523056_Tr_tpp_tpp_orig_novh_c.1_s1510771779__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544562_Ev_tpp_tpp_orig_novh_c.1_s1510771779_CD4P_src20523056_e0051.txt,20755747,20890787,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890787_Ev_tpp_tpp_mcts_orig_novh_c.1_s1510771779_K0_P4TPPS2P_src20755747_e0000.txt
PRESERVE-3-TERM,tpp,off,1963100312,tuning,20,20.0,0.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:52:19.740677/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911906-2fc32f3/snapshots/snapshot_53_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:13:22.716157/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921287-2fc32f3/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523035_Tr_tpp_tpp_orig_novh_c.1_s1963100312__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544513_Ev_tpp_tpp_orig_novh_c.1_s1963100312_CD4P_src20523035_e0053.txt,20755748,20890810,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890810_Ev_tpp_tpp_mcts_orig_novh_c.1_s1963100312_K0_P4TPPS2P_src20755748_e0000.txt
PRESERVE-3-TERM,tpp,off,1972442430,held_out,20,20.0,0.0,97,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T06:58:34.413651/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911972-72aea46/snapshots/snapshot_65_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:15:28.389963/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921289-72aea46/snapshots/snapshot_97_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523062_Tr_tpp_tpp_orig_novh_c.1_s1972442430__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544576_Ev_tpp_tpp_orig_novh_c.1_s1972442430_CD4P_src20523062_e0065.txt,20755749,20890851,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890851_Ev_tpp_tpp_mcts_orig_novh_c.1_s1972442430_K0_P4TPPS2P_src20755749_e0097.txt
PRESERVE-3-TERM,tpp,off,2011206605,tuning,20,20.0,0.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:54:32.232440/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911908-067843/snapshots/snapshot_51_1.000","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:34:31.100251/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921308-067843/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20523038_Tr_tpp_tpp_orig_novh_c.1_s2011206605__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20542684_Ev_tpp_tpp_orig_novh_c.1_s2011206605_CD4P_src20523038_e0051.txt,20755750,20890853,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890853_Ev_tpp_tpp_mcts_orig_novh_c.1_s2011206605_K0_P4TPPS2P_src20755750_e0000.txt
