branch,domain,value_head,seed,stage1,stage2,change,stage1_log,stage2_log
validation,tpp,on,534933607,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541679_Ev_tpp_tpp_orig_vh_c.1_s534933607_CD4P_src20523020_e0003.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720724_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20684883_e0002.txt
validation,tpp,on,923500475,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541718_Ev_tpp_tpp_orig_vh_c.1_s923500475_CD4P_src20523029_e0001.txt,/home/hersco/training_new_domains/2026-08-31/preserve4_tpp_stage2_policy_eval/20763718_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0036.txt
validation,tpp,on,1073581256,20.0,15.0,-5.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544482_Ev_tpp_tpp_orig_vh_c.1_s1073581256_CD4P_src20523010_e0040.txt,/home/hersco/training_new_domains/2026-08-31/preserve4_tpp_stage2_policy_eval/20794985_Ev_tpp_tpp_mcts_orig_vh_c.1_s1073581256_K0_P4TPPS2P_src20684885_e0002.txt
validation,tpp,on,1239739722,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541655_Ev_tpp_tpp_orig_vh_c.1_s1239739722_CD4P_src20523013_e0017.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720725_Ev_tpp_tpp_mcts_orig_vh_c.1_s1239739722_K0_P4TPPS2P_src20684886_e0001.txt
validation,tpp,on,1472491096,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541667_Ev_tpp_tpp_orig_vh_c.1_s1472491096_CD4P_src20523017_e0002.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720726_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20684887_e0053.txt
validation,tpp,on,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541706_Ev_tpp_tpp_orig_vh_c.1_s1510771779_CD4P_src20523026_e0012.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_tpp_stage2_policy_eval/20720728_Ev_tpp_tpp_mcts_orig_vh_c.1_s1510771779_K0_P4TPPS2P_src20684888_e0011.txt
validation,tpp,on,1963100312,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541522_Ev_tpp_tpp_orig_vh_c.1_s1963100312_CD4P_src20523005_e0012.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_policy_eval/20576315_Ev_tpp_tpp_orig_vh_c.1_s1963100312_SR10CD4ATP_src20553931_e0090.txt
validation,tpp,on,1972442430,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541731_Ev_tpp_tpp_orig_vh_c.1_s1972442430_CD4P_src20523032_e0008.txt,/home/hersco/training_new_domains/2026-08-29/preserve4_tpp_stage2_policy_eval/20689672_Ev_tpp_tpp_mcts_orig_vh_c.1_s1972442430_K0_P4TPPS2P_src20684889_e0005.txt
validation,tpp,on,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541640_Ev_tpp_tpp_orig_vh_c.1_s2011206605_CD4P_src20523008_e0001.txt,/home/hersco/training_new_domains/2026-08-26/completed_domains_anchor_tuning_policy_eval/20594354_Ev_tpp_tpp_orig_vh_c.1_s2011206605_SR10CD4ATP_src20553938_e0000.txt
validation,tpp,on,2082152039,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541692_Ev_tpp_tpp_orig_vh_c.1_s2082152039_CD4P_src20523023_e0009.txt,/home/hersco/training_new_domains/2026-09-01/preserve4_tpp_stage2_policy_eval/20821331_Ev_tpp_tpp_mcts_orig_vh_c.1_s2082152039_K0_P4TPPS2P_src20684890_e0079.txt
validation,zenotravel,off,534933607,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546270_Ev_zenotravel_zenotravel_orig_novh_c.1_s534933607_CD4P_src20523092_e0008.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720645_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P4ZENOTRAVELS2P_src20630369_e0004.txt
validation,zenotravel,off,923500475,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553674_Ev_zenotravel_zenotravel_orig_novh_c.1_s923500475_CD4P_src20523095_e0032.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720646_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s923500475_K0_P4ZENOTRAVELS2P_src20630370_e0001.txt
validation,zenotravel,off,1073581256,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20559395_Ev_zenotravel_zenotravel_orig_novh_c.1_s1073581256_CD4P_src20523089_e0114.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720647_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1073581256_K0_P4ZENOTRAVELS2P_src20630371_e0008.txt
validation,zenotravel,off,1239739722,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546226_Ev_zenotravel_zenotravel_orig_novh_c.1_s1239739722_CD4P_src20523090_e0034.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720648_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1239739722_K0_P4ZENOTRAVELS2P_src20630372_e0007.txt
validation,zenotravel,off,1472491096,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546228_Ev_zenotravel_zenotravel_orig_novh_c.1_s1472491096_CD4P_src20523091_e0005.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720649_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1472491096_K0_P4ZENOTRAVELS2P_src20630373_e0083.txt
validation,zenotravel,off,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553654_Ev_zenotravel_zenotravel_orig_novh_c.1_s1510771779_CD4P_src20523094_e0042.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720650_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1510771779_K0_P4ZENOTRAVELS2P_src20630374_e0000.txt
validation,zenotravel,off,1963100312,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20545018_Ev_zenotravel_zenotravel_orig_novh_c.1_s1963100312_CD4P_src20523086_e0008.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20724194_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_ORIGSEL_src20553987_e0013.txt
validation,zenotravel,off,1972442430,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553695_Ev_zenotravel_zenotravel_orig_novh_c.1_s1972442430_CD4P_src20523096_e0043.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720651_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s1972442430_K0_P4ZENOTRAVELS2P_src20630375_e0000.txt
