domain,value_head,stage,epoch,mean,min,max,n
drone,off,stage2,15,19.318181818181817,15.0,25.0,22
drone,off,stage2,20,20.227272727272727,15.0,25.0,22
drone,off,stage2,25,19.318181818181817,15.0,25.0,22
drone,off,stage2,30,20.0,15.0,25.0,22
drone,off,stage2,35,20.227272727272727,15.0,25.0,22
drone,off,stage2,40,19.772727272727273,15.0,25.0,22
drone,off,stage2,45,20.0,15.0,25.0,22
drone,off,stage2,50,20.0,15.0,25.0,22
drone,off,stage2,55,19.772727272727273,15.0,25.0,22
drone,off,stage2,60,20.0,15.0,25.0,22
drone,off,stage2,65,20.0,15.0,25.0,22
drone,off,stage2,70,20.227272727272727,15.0,25.0,22
drone,off,stage2,75,19.09090909090909,15.0,25.0,22
drone,off,stage2,80,19.318181818181817,15.0,20.0,22
drone,off,stage2,85,19.545454545454547,15.0,25.0,22
drone,off,stage2,90,19.318181818181817,15.0,25.0,22
drone,off,stage2,95,19.545454545454547,15.0,25.0,22
drone,off,stage2,99,19.318181818181817,15.0,20.0,22
drone,on,stage1,1,10.0,10.0,10.0,1
drone,on,stage1,5,18.5,15.0,25.0,10
drone,on,stage1,10,17.5,15.0,25.0,10
drone,on,stage1,14,25.0,25.0,25.0,1
drone,on,stage1,15,19.5,15.0,30.0,10
drone,on,stage1,19,30.0,30.0,30.0,1
drone,on,stage1,20,22.0,15.0,35.0,10
drone,on,stage1,21,20.0,20.0,20.0,2
drone,on,stage1,23,15.0,15.0,15.0,1
drone,on,stage1,25,28.5,15.0,45.0,10
drone,on,stage1,26,25.0,25.0,25.0,1
drone,on,stage1,30,28.0,20.0,35.0,10
drone,on,stage1,35,29.0,15.0,40.0,10
drone,on,stage1,40,25.0,15.0,35.0,10
drone,on,stage1,45,29.0,15.0,40.0,10
drone,on,stage1,50,32.0,15.0,45.0,10
drone,on,stage1,55,30.555555555555557,10.0,40.0,9
drone,on,stage1,60,33.888888888888886,20.0,45.0,9
drone,on,stage1,65,29.375,15.0,45.0,8
drone,on,stage1,70,36.42857142857143,15.0,50.0,7
drone,on,stage1,75,33.75,20.0,50.0,4
drone,on,stage1,80,40.0,35.0,45.0,3
drone,on,stage1,85,40.0,35.0,45.0,3
drone,on,stage1,90,38.333333333333336,25.0,50.0,3
drone,on,stage1,95,41.666666666666664,35.0,50.0,3
drone,on,stage1,100,31.666666666666668,20.0,40.0,3
drone,on,stage1,103,20.0,20.0,20.0,1
drone,on,stage1,105,35.0,30.0,40.0,3
drone,on,stage1,110,33.333333333333336,20.0,45.0,3
drone,on,stage1,115,35.0,20.0,45.0,3
drone,on,stage1,118,35.0,35.0,35.0,1
drone,on,stage1,120,40.0,35.0,50.0,3
drone,on,stage1,125,35.0,25.0,50.0,3
drone,on,stage1,130,36.666666666666664,25.0,45.0,3
drone,on,stage1,135,33.333333333333336,20.0,45.0,3
drone,on,stage1,140,41.666666666666664,25.0,55.0,3
drone,on,stage1,145,41.666666666666664,30.0,55.0,3
drone,on,stage1,150,33.333333333333336,25.0,50.0,3
drone,on,stage1,155,50.0,45.0,55.0,2
drone,on,stage1,160,52.5,50.0,55.0,2
drone,on,stage1,161,55.0,55.0,55.0,1
drone,on,stage1,165,32.5,30.0,35.0,2
drone,on,stage1,170,55.0,55.0,55.0,1
drone,on,stage1,175,55.0,55.0,55.0,1
drone,on,stage1,180,40.0,40.0,40.0,1
drone,on,stage1,185,50.0,50.0,50.0,1
drone,on,stage2,0,50.22727272727273,35.0,65.0,22
drone,on,stage2,5,49.54545454545455,25.0,60.0,22
drone,on,stage2,10,47.72727272727273,25.0,60.0,22
