job_id,instance_number,instance_path,status,hit_goal,steps,elapsed_seconds,evaluation_signature,source_evaluation_log,source_completion_ledger
20755803,3,../problems/numeric/counters/vanilla/fz_instance_4.pddl,success,True,6,13.84389335475862,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,4,../problems/numeric/counters/vanilla/fz_instance_5.pddl,success,True,12,22.622082417830825,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,5,../problems/numeric/counters/vanilla/fz_instance_6.pddl,success,True,17,31.627911005169153,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,6,../problems/numeric/counters/vanilla/fz_instance_7.pddl,success,True,21,39.38793991319835,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,7,../problems/numeric/counters/vanilla/fz_instance_8.pddl,success,True,30,56.13560247421265,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,8,../problems/numeric/counters/vanilla/fz_instance_9.pddl,success,True,40,86.73139665275812,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,9,../problems/numeric/counters/vanilla/fz_instance_10.pddl,success,True,45,78.96130071766675,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,10,../problems/numeric/counters/vanilla/fz_instance_11.pddl,success,True,87,163.11084472574294,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,11,../problems/numeric/counters/vanilla/fz_instance_12.pddl,success,True,68,151.09985831193626,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,12,../problems/numeric/counters/vanilla/fz_instance_13.pddl,success,True,80,189.68976511247456,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,13,../problems/numeric/counters/vanilla/fz_instance_14.pddl,success,True,101,254.02647340111434,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
20755803,15,../problems/numeric/counters/vanilla/fz_instance_16.pddl,success,True,126,340.2688026521355,a2e972c46008226f6bca8de7cb66fb3f6ce8d1d80fe37dc914127735771750a9,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/horizon-counters-off-1963100312-unaware_20755803.out,/home/hersco/training_new_domains/2026-08-31/mcts_horizon_counters/completion/20755803.jsonl
