task_id,candidate_index,instance,missing_stratum,outcome,outcome_evidence,first_divergence_observed,selector,selection_mechanism,selector_input_changed_from_raw_visits,duplicate_control_applied,step,policy_action,selected_action,policy_action_expanded,policy_entropy,visit_entropy,policy_visit_js_divergence,selected_action_policy_prior,selected_action_policy_rank,winner_visit_share,top1_top2_visit_margin,max_visit_tie_count,selected_is_signed_q_argmax,selected_is_u_argmax,selected_is_signed_q_plus_u_argmax,root_visits,policy_action_visits,selected_action_visits,raw_visit_argmax_action,selected_is_raw_visit_argmax,policy_action_prior,policy_action_q,selected_action_q,selected_minus_policy_q,policy_action_u,selected_action_u,selected_minus_policy_u,policy_action_q_plus_u,selected_action_q_plus_u,selected_minus_policy_q_plus_u,policy_status,current_outcome_stratum,source_result
root-trace-drone-on-fixed,3,problem_6_8_1.pddl,policy_success_search_failure,success,completion_jsonl,True,goal_chase,goal_chase,False,False,193,4,3,True,0.9917772998664003,0.21620596216459576,0.23451711317542714,0.3326715053677482,2,0.7795620437956204,411,1,True,False,True,686,123,534,3,True,0.5414772033691406,0.04604353625845819,0.05917642630011729,0.013132890041659101,0.011437221971202328,0.0016286353741517953,-0.009808586597050532,0.05748075822966052,0.060805061674269086,0.003324303444608566,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-on-fixed/03_src20401198_e0019_s2011206605_problem_6_8_1.result.json
root-trace-fo_counters-off-fixed,0,instance_10.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,True,root_visit_argmax,raw_root_visit_argmax,False,False,2,22,20,True,2.6279580830797022,2.4139424903442412,0.017165793227146793,0.08631568288504238,9,0.08974358974358974,0,10,False,False,False,79,7,7,20,True,0.08843598514795303,6.170490204333978e-05,6.170490204333978e-05,0.0,0.009825452868523005,0.009589882260474445,-0.00023557060804856034,0.009887157770566346,0.009651587162517785,-0.00023557060804856034,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-off-fixed/00_src20401230_e0022_s1073581256_instance_10.result.json
root-trace-fo_counters-off-fixed,1,instance_2.pddl,both_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,2,6,7,True,0.715316783795932,0.01820889770578124,0.20898122931169916,0.49839028078785924,1,0.9512195121951219,185,1,False,True,False,206,195,10,6,False,0.498390257358551,0.5170255489180798,0.347151776468577,-0.16987377244950286,0.003649615251960085,0.06502950812583425,0.06137989287387416,0.5206751641700399,0.4121812845944112,-0.10849387957562867,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-fo_counters-off-fixed/01_src20401230_e0022_s1073581256_instance_2.result.json
root-trace-fo_counters-off-fixed,2,instance_5.pddl,policy_failure_search_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,0,10,11,True,1.6246302599346654,0.568051023906165,0.24899739593327064,0.19958318459077526,1,0.5652173913043478,30,1,True,False,True,70,5,39,11,True,0.19958317279815674,0.00915781944436709,0.1128834211351173,0.10372560169075021,0.027830543774843466,0.00417458156622652,-0.023655962208616946,0.036988363219210556,0.11705800270134382,0.08006963948213328,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-fo_counters-off-fixed/02_src20401230_e0022_s1073581256_instance_5.result.json
root-trace-fo_counters-off-fixed,3,instance_8.pddl,policy_success_search_failure,hard_timeout,eval_instance_timeout_log_marker,True,root_visit_argmax,raw_root_visit_argmax,False,False,0,22,0,True,2.7432878702953563,0.019786154371048914,0.6859567591396984,5.39140414295898e-06,17,0.8840579710144928,60,1,True,False,False,70,1,61,0,True,0.07766569405794144,0.0004559409827772581,0.0007641777456189317,0.0003082367628416736,0.03248989082565234,7.275439191761318e-08,-0.03248981807126042,0.032945831808429596,0.0007642505000108493,-0.03218158130841875,success,policy_success_search_failure,/home/hersco/training_new_domains/2026-09-19/mcts_policy_divergence_stage1_final_recovery/root-trace-fo_counters-off-fixed/03_src20401235_e0066_s1510771779_instance_8.result.json
root-trace-fo_counters-off-pw,0,instance_10.pddl,both_fail_outcome_only,action_limit,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,21,21,25,True,3.0140856775253377,1.7983539849705397,0.2624927371481105,0.0690642083559457,1,0.17164179104477612,1,1,True,False,False,139,21,23,25,True,0.06906420737504959,9.997982589477923e-05,0.00027108108433347933,0.0001711012584387001,0.0037011590738349103,0.0033927291510153345,-0.0003084299228195758,0.0038011388997296895,0.0036638102353488138,-0.00013732866438087576,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-off-pw/00_src20401230_e0022_s1073581256_instance_10.result.json
root-trace-fo_counters-off-pw,1,instance_2.pddl,both_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,4,6,7,True,0.7292598568162257,0.17657050244352993,0.15166727228135823,0.49730696972173166,1,0.8080357142857143,143,1,False,True,False,243,181,38,6,False,0.4973069131374359,0.6573448550525681,0.6349204013146647,-0.02242445373790347,0.004259476683837106,0.019877557857906496,0.01561808117406939,0.6616043317364052,0.6547979591725711,-0.0068063725638340955,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-off-pw/01_src20401230_e0022_s1073581256_instance_2.result.json
root-trace-fo_counters-off-pw,2,instance_5.pddl,policy_failure_search_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,0,10,11,True,1.6246302599346654,0.07257768525538066,0.3975693502858574,0.19958318459077526,1,0.8571428571428571,54,1,True,False,True,70,2,60,11,True,0.19958317279815674,0.00915781944436709,0.09421875056494959,0.0850609311205825,0.05566108754968693,0.0027374305352305048,-0.05292365701445643,0.06481890699405402,0.09695618110018009,0.032137274106126074,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-fo_counters-off-pw/02_src20401230_e0022_s1073581256_instance_5.result.json
root-trace-fo_counters-on-fixed,0,instance_10.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,True,root_visit_argmax,raw_root_visit_argmax,False,False,21,27,29,True,2.679909539793098,0.8242436559973366,0.3079694254284334,0.14532024834435112,1,0.45037220843672454,18,1,True,False,True,807,345,363,29,True,0.14532025158405304,0.28863221392459154,0.37594650907361893,0.08731429514902739,0.001193127373341072,0.0011341265691648653,-5.900080417620677e-05,0.28982534129793264,0.37708063564278377,0.08725529434485113,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-on-fixed/00_src20401220_e0106_s1073581256_instance_10.result.json
root-trace-fo_counters-on-fixed,1,instance_2.pddl,both_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,5,7,0,True,0.816466525522638,0.18532512184504105,0.11405352619706674,0.3973210681095538,2,0.8206388206388207,261,1,False,False,False,408,334,73,7,False,0.5737927556037903,0.5956960821997839,0.5718033978854665,-0.023892684314317347,0.0034597150858608145,0.010845259081403992,0.007385543995543178,0.5991557972856447,0.5826486569668705,-0.016507140318774205,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-fo_counters-on-fixed/01_src20401220_e0106_s1073581256_instance_2.result.json
