arm,value_head,seed,job_id,score,total,elapsed,source_checkpoint,source_log
policy,off,1472491096,20450812,10,20,00:04:48,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913424/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_92_0.750",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450812_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20401212_e0092.txt
policy,on,534933607,20450651,11,20,00:03:25,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901707/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_161_0.500",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450651_Ev_drone_drone_orig_vh_c.1_s534933607_SR10P_src20401202_e0161.txt
policy,on,1073581256,20431837,7,20,00:03:47,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901712/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_118_0.750",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt
policy,on,1239739722,20425441,3,20,00:02:27,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901932/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_23_0.375",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425441_Ev_drone_drone_orig_vh_c.1_s1239739722_SR10P_src20401200_e0023.txt
policy,on,1472491096,20425477,4,20,00:03:09,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901716/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_21_0.500",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425477_Ev_drone_drone_orig_vh_c.1_s1472491096_SR10P_src20401201_e0021.txt
pw_kmin3,off,534933607,20684751,11,20,11:30:10,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684751_pw-safe-drone-off-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,off,1073581256,20684748,6,20,10:54:09,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684748_pw-safe-drone-off-1073581256-safe_pw_kmin3_ext.txt
pw_kmin3,off,1239739722,20684749,6,20,09:28:13,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684749_pw-safe-drone-off-1239739722-safe_pw_kmin3_ext.txt
pw_kmin3,off,1472491096,20684750,12,20,12:05:47,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684750_pw-safe-drone-off-1472491096-safe_pw_kmin3_ext.txt
pw_kmin3,on,534933607,20684755,15,20,12:05:38,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684755_pw-safe-drone-on-534933607-safe_pw_kmin3_ext.txt
pw_kmin3,on,1073581256,20684752,14,20,12:07:41,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684752_pw-safe-drone-on-1073581256-safe_pw_kmin3_ext.txt
pw_kmin3,on,1239739722,20684753,5,20,01:29:38,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684753_pw-safe-drone-on-1239739722-safe_pw_kmin3_ext.txt
pw_kmin3,on,1472491096,20684754,7,20,10:13:33,,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684754_pw-safe-drone-on-1472491096-safe_pw_kmin3_ext.txt
