arm,value_head,seed,job_id,instance_number,instance,runtime_seconds,steps,source_log
fixed_top20,on,534933607,20451720,2,problem_1_1_4.pddl,45.12,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,1,problem_1_1_2.pddl,45.64,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,3,problem_1_8_1.pddl,49.62,27,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,4,problem_1_9_3.pddl,342.52,202,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,5,problem_2_5_4.pddl,381.17,186,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,7,problem_2_9_1.pddl,79.92,56,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,8,problem_3_3_4.pddl,200.41,126,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,9,problem_4_2_5.pddl,293.21,125,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,11,problem_5_2_2.pddl,107.25,65,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,12,problem_5_10_1.pddl,1125.77,224,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
