bytes|mtime|path
964882736|2026-06-14T11:03:11.1338901010+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T11:04:33.028624/runs/11eb983b9a051f9d80809fef38e931fa/stdout
945316397|2026-06-12T14:25:25.0860064790+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T14:26:13.413858/runs/bead1b216eb1d6f80691d76c5372985b/stdout
921011489|2026-06-14T00:28:03.1215546650+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:10.199533/runs/e6ae0ed8c8227cd55b9f8b08f6029282/stdout
909317153|2026-06-12T14:25:25.0540059290+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T14:26:13.413852/runs/4af2ab6f29f101f36cabb72d7cc375b5/stdout
895201150|2026-06-13T01:31:37.0323915640+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-10T01:32:31.046239/runs/13848982c9b11c658804d5de304626a6/stdout
889021698|2026-08-18T07:09:09.6896270610+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-08-11T11:20:52.036184/runs/f59149429569e7ada8da700c45ab4c4d/stdout
877552895|2026-06-15T14:59:03.3668526540+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:37.707293/runs/d2a95dddca22dc83beef10f886551e0b/stdout
857174481|2026-06-14T00:28:03.1615553560+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:06.351074/runs/e9f1ef640306e226892aad1873f95f25/stdout
853215295|2026-06-11T06:11:05.1177321560+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T01:30:00.650217/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[561600]-04800764-3cbe346/run-info/stdout
853215295|2026-06-11T06:11:05.1177321560+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T01:30:00.650217/runs/02491c409af752bb1c5f47a968c66aba/stdout
819214452|2026-06-14T00:28:03.1175545970+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:19.813932/runs/de1ca206a3112ee8ad55b7313b386c76/stdout
817209032|2026-06-14T00:27:57.2654536250+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:28.348245/runs/d8feafd2184ccfccb4328609b3b04ea2/stdout
807695338|2026-06-14T00:25:37.7070450290+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:29:19.813943/runs/af6da8dd3bb0399035f9101f9620ef49/stdout
800542720|2026-06-12T14:25:25.0620060670+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T14:26:13.413769/runs/b49600801222829301fe383cb5ac9924/stdout
800297285|2026-06-14T00:27:55.8094285030+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-11T00:28:58.613246/runs/036f21df6a452e8a651bb017b32dee6b/stdout
799573467|2026-06-12T14:25:25.0780063420+0300|/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture.actprop_2l_comparison_mcts-2026-06-09T14:26:13.413813/runs/516fddd25da0dbd04dad27c9a4cbf0ad/stdout
