experiment_id,manifest_id,domain,value_head,seed,stage,checkpoint_selection,source_checkpoint,source_training_job_id,source_policy_job_id,snapshot_epoch,policy_score,policy_total,arm,leaf_evaluator,use_estimator,rollout_horizon,width,iterations,puct,teacher,workers,cpus,memory_gib,time_limit,instance_timeout_seconds,code_commit,status
MCTS-LEAF-VHOFF6-20260920,fo_counters-off-2011206605-rollout,fo_counters,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750806/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_46_1.000",20401229,20426824,46,4,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,fo_counters-off-2011206605-current,fo_counters,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750806/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_46_1.000",20401229,20426824,46,4,20,current,value,0.5,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,rover-off-1963100312-rollout,rover,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375",20401248,20428037,25,4,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,rover-off-1963100312-current,rover,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375",20401248,20428037,25,4,20,current,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,rover-off-2011206605-rollout,rover,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625",20401249,20428091,44,4,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,rover-off-2011206605-current,rover,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625",20401249,20428091,44,4,20,current,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,counters-off-1963100312-rollout,counters,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",20401258,20428710,101,17,59,rollout,policy_rollout,0.0,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,counters-off-1963100312-current,counters,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",20401258,20428710,101,17,59,current,value,0.5,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,counters-off-2011206605-rollout,counters,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",20401259,20428752,37,19,59,rollout,policy_rollout,0.0,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,counters-off-2011206605-current,counters,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",20401259,20428752,37,19,59,current,value,0.5,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,mprime-off-1963100312-rollout,mprime,off,1963100312,stage1,mprime_corrected_validation_v1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:28.216357/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-2fc32f3/snapshots/snapshot_23_0.750",20618716,20668394,23,16,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,mprime-off-1963100312-current,mprime,off,1963100312,stage1,mprime_corrected_validation_v1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:28.216357/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-2fc32f3/snapshots/snapshot_23_0.750",20618716,20668394,23,16,20,current,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,mprime-off-2011206605-rollout,mprime,off,2011206605,stage1,mprime_corrected_validation_v1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:20.629844/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-067843/snapshots/snapshot_66_0.750",20618717,20668419,66,16,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,mprime-off-2011206605-current,mprime,off,2011206605,stage1,mprime_corrected_validation_v1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:20.629844/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-067843/snapshots/snapshot_66_0.750",20618717,20668419,66,16,20,current,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
