evaluation_job_id,source_training_job_id,domain,value_head,seed,epoch,successes,total,source_evaluation_log
20424560,20401182,block_grouping,on,534933607,5,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424560_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0005.txt
20424561,20401182,block_grouping,on,534933607,10,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424561_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0010.txt
20424562,20401182,block_grouping,on,534933607,15,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424562_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0015.txt
20424563,20401182,block_grouping,on,534933607,20,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424563_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0020.txt
20424564,20401182,block_grouping,on,534933607,25,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424564_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0025.txt
20424565,20401182,block_grouping,on,534933607,30,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424565_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0030.txt
20424566,20401182,block_grouping,on,534933607,35,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424566_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0035.txt
20424567,20401182,block_grouping,on,534933607,40,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424567_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0040.txt
20424568,20401182,block_grouping,on,534933607,45,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424568_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0045.txt
20424569,20401182,block_grouping,on,534933607,50,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424569_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0050.txt
