lineage_index,domain,seed,total,starting_policy,legacy_epoch0,deterministic_epoch0,det_minus_legacy,reuse_status,source_checkpoint,source_checkpoint_sha256,source_policy_job_id
10,drone,534933607,20,11,6,10,4,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913938/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_69_0.500",c9434b115516e234fff8a4a5f9c2200d6959615749c8706f597464e72b43bee3,20450836
11,drone,923500475,20,2,2,2,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913677/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_1_0.000",9b6add4c4e8b104c3e8cad429bf203355ad01eb9d95d5080f788e92a5de88e95,20425862
12,drone,1073581256,20,5,9,9,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913241/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_90_0.625",633b68eeece792b1454d0f8524d24ffbb0d8fa6a89e02388ef92f54f6b7390be,20450765
13,drone,1239739722,20,5,4,5,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913253/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_51_0.625",db5b59fb3044ba4b098b792e8ed249dab6c12d8ab15a616b483935af7fc72f97,20425819
14,drone,1472491096,20,10,8,10,2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913424/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_92_0.750",c1c2ec8215c07ebc33db4e919d404e3d7230878b06f4086b52e8a38f11493124,20450812
15,drone,1510771779,20,3,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913650/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-17cc32a/snapshots/snapshot_16_0.250",26918994bc769827ef04262944a7dc4ed6f2b73baf9424a613fe8df29b4d52e4,20425851
16,drone,1963100312,20,11,6,6,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913251/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_157_0.375",a26b80b42378b986dc13250b7e818c7f295749ee2d5491930dc1d2ad0fdb3f88,20450747
17,drone,1972442430,20,3,7,5,-2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913374/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_67_0.500",d4231bbb4257cc35153cf80bf35986f2e446c5f157d36130f76d7f23fc98bd5a,20450904
18,drone,2011206605,20,5,3,3,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913255/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_40_0.375",bd243a04dfdd164e760f6c93c48a8d45cb6694ea67304c70bba70daec1fbab98,20425786
19,drone,2082152039,20,4,6,8,2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913671/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_38_0.750",6c233736346bfd8c342574662b0b1d3ebaf47b711be0f8244281a27de1ea8ab9,20425837
