lineage_index,new_pair_index,domain,seed,total,source_training_job_id,source_policy_job_id,starting_policy_score,source_checkpoint,source_checkpoint_epoch,source_training_log,source_policy_log,optimizer_rng_base_seed,reuse_status,existing_pair_index
20,20,fo_counters,534933607,20,20401233,20426934,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.946490/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_57_1.000",57,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401233_Tr_fo_counters_fo_counters_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426934_Ev_fo_counters_fo_counters_orig_novh_c.1_s534933607_SR10P_src20401233_e0057.txt,890020,new_capture_and_pair,
21,21,fo_counters,923500475,20,20401236,20427164,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947205/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_14_1.000",14,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401236_Tr_fo_counters_fo_counters_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427164_Ev_fo_counters_fo_counters_orig_novh_c.1_s923500475_SR10P_src20401236_e0014.txt,890021,new_capture_and_pair,
22,22,fo_counters,1073581256,20,20401230,20426859,3,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750965/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_22_1.000",22,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401230_Tr_fo_counters_fo_counters_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,890022,new_capture_and_pair,
23,23,fo_counters,1239739722,20,20401231,20426898,6,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750807/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_31_1.000",31,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401231_Tr_fo_counters_fo_counters_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426898_Ev_fo_counters_fo_counters_orig_novh_c.1_s1239739722_SR10P_src20401231_e0031.txt,890023,new_capture_and_pair,
24,24,fo_counters,1472491096,20,20401232,20426912,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.948649/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_16_1.000",16,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401232_Tr_fo_counters_fo_counters_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426912_Ev_fo_counters_fo_counters_orig_novh_c.1_s1472491096_SR10P_src20401232_e0016.txt,890024,new_capture_and_pair,
25,25,fo_counters,1510771779,20,20401235,20427151,5,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947874/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_66_1.000",66,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401235_Tr_fo_counters_fo_counters_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427151_Ev_fo_counters_fo_counters_orig_novh_c.1_s1510771779_SR10P_src20401235_e0066.txt,890025,new_capture_and_pair,
26,26,fo_counters,1963100312,20,20401228,20426778,3,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750809/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_8_1.000",8,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401228_Tr_fo_counters_fo_counters_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426778_Ev_fo_counters_fo_counters_orig_novh_c.1_s1963100312_SR10P_src20401228_e0008.txt,890026,new_capture_and_pair,
27,27,fo_counters,1972442430,20,20401237,20427180,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.927253/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_28_1.000",28,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401237_Tr_fo_counters_fo_counters_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427180_Ev_fo_counters_fo_counters_orig_novh_c.1_s1972442430_SR10P_src20401237_e0028.txt,890027,new_capture_and_pair,
28,28,fo_counters,2011206605,20,20401229,20426824,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750806/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_46_1.000",46,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401229_Tr_fo_counters_fo_counters_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426824_Ev_fo_counters_fo_counters_orig_novh_c.1_s2011206605_SR10P_src20401229_e0046.txt,890028,new_capture_and_pair,
29,29,fo_counters,2082152039,20,20401234,20427127,5,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.948024/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-faf7d6/snapshots/snapshot_69_1.000",69,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401234_Tr_fo_counters_fo_counters_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427127_Ev_fo_counters_fo_counters_orig_novh_c.1_s2082152039_SR10P_src20401234_e0069.txt,890029,new_capture_and_pair,
30,30,rover,534933607,20,20401253,20428485,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.790626/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_124_0.625",124,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401253_Tr_rover_rover_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428485_Ev_rover_rover_orig_novh_c.1_s534933607_SR10P_src20401253_e0124.txt,890030,new_capture_and_pair,
31,31,rover,923500475,20,20401256,20428665,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633313/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_20_0.125",20,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401256_Tr_rover_rover_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428665_Ev_rover_rover_orig_novh_c.1_s923500475_SR10P_src20401256_e0020.txt,890031,new_capture_and_pair,
32,32,rover,1073581256,20,20401250,20428109,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487394/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_40_0.625",40,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401250_Tr_rover_rover_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,890032,new_capture_and_pair,
33,33,rover,1239739722,20,20401251,20428373,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.790681/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_53_0.625",53,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401251_Tr_rover_rover_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428373_Ev_rover_rover_orig_novh_c.1_s1239739722_SR10P_src20401251_e0053.txt,890033,new_capture_and_pair,
34,34,rover,1472491096,20,20401252,20428427,4,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487389/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_64_0.750",64,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401252_Tr_rover_rover_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428427_Ev_rover_rover_orig_novh_c.1_s1472491096_SR10P_src20401252_e0064.txt,890034,new_capture_and_pair,
