experiment_id,domain,value_head,seed,source_training_job_id,selected_epoch,policy_score,policy_log,candidate_mcts_log_count,candidate_mcts_logs,audit_state
MAIN-TERM,counters,off,1073581256,20489407,31,38,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541390_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10TCP_src20489407_e0031.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,1239739722,20489408,18,36,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541391_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10TCP_src20489408_e0018.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,1472491096,20489409,2,35,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541392_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10TCP_src20489409_e0002.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,1510771779,20489410,45,34,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523734_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10TCP_src20489410_e0045.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,1963100312,20489411,42,56,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541393_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10TCP_src20489411_e0042.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,1972442430,20489412,94,29,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541394_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10TCP_src20489412_e0094.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,2011206605,20489413,3,59,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541395_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10TCP_src20489413_e0003.txt,0,,no_candidate_log_found
MAIN-TERM,counters,off,2082152039,20489414,82,27,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541396_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10TCP_src20489414_e0082.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,534933607,20489415,6,59,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541397_Ev_counters_counters_orig_vh_c.1_s534933607_SR10TCP_src20489415_e0006.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,923500475,20489416,30,8,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523947_Ev_counters_counters_orig_vh_c.1_s923500475_SR10TCP_src20489416_e0030.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1073581256,20489417,70,4,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20524060_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10TCP_src20489417_e0070.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1239739722,20489418,62,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541419_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10TCP_src20489418_e0062.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1472491096,20489419,70,3,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541542_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10TCP_src20489419_e0070.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1510771779,20489420,1,24,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541572_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10TCP_src20489420_e0001.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1963100312,20489421,0,5,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541573_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10TCP_src20489421_e0000.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,1972442430,20489422,28,31,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541615_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10TCP_src20489422_e0028.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,2011206605,20489424,29,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541740_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10TCP_src20489424_e0029.txt,0,,no_candidate_log_found
MAIN-TERM,counters,on,2082152039,20489425,2,15,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541763_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10TCP_src20489425_e0002.txt,0,,no_candidate_log_found
MAIN-TERM,drone,off,534933607,20489426,38,9,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541785_Ev_drone_drone_orig_novh_c.1_s534933607_SR10TCP_src20489426_e0038.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559540_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038.txt,candidate_logs_found
MAIN-TERM,drone,off,923500475,20489427,64,5,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541807_Ev_drone_drone_orig_novh_c.1_s923500475_SR10TCP_src20489427_e0064.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559541_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489427_e0064.txt,candidate_logs_found
MAIN-TERM,drone,off,1073581256,20489428,2,13,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541829_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10TCP_src20489428_e0002.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559542_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489428_e0002.txt,candidate_logs_found
MAIN-TERM,drone,off,1239739722,20489429,34,4,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541869_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10TCP_src20489429_e0034.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559543_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489429_e0034.txt,candidate_logs_found
MAIN-TERM,drone,off,1472491096,20489430,12,11,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541891_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10TCP_src20489430_e0012.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559544_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489430_e0012.txt,candidate_logs_found
MAIN-TERM,drone,off,1510771779,20489431,86,6,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541913_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10TCP_src20489431_e0086.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559546_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489431_e0086.txt,candidate_logs_found
MAIN-TERM,drone,off,1963100312,20489432,98,6,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541935_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10TCP_src20489432_e0098.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559547_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489432_e0098.txt,candidate_logs_found
MAIN-TERM,drone,off,1972442430,20489433,3,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541957_Ev_drone_drone_orig_novh_c.1_s1972442430_SR10TCP_src20489433_e0003.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559548_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCM_src20489433_e0003.txt,candidate_logs_found
MAIN-TERM,drone,off,2011206605,20489434,9,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541988_Ev_drone_drone_orig_novh_c.1_s2011206605_SR10TCP_src20489434_e0009.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559549_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489434_e0009.txt,candidate_logs_found
MAIN-TERM,drone,off,2082152039,20489435,6,8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542010_Ev_drone_drone_orig_novh_c.1_s2082152039_SR10TCP_src20489435_e0006.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559550_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489435_e0006.txt,candidate_logs_found
MAIN-TERM,drone,on,534933607,20489436,14,10,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542032_Ev_drone_drone_orig_vh_c.1_s534933607_SR10TCP_src20489436_e0014.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559551_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489436_e0014.txt,candidate_logs_found
MAIN-TERM,drone,on,923500475,20489437,47,6,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542054_Ev_drone_drone_orig_vh_c.1_s923500475_SR10TCP_src20489437_e0047.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559552_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489437_e0047.txt,candidate_logs_found
MAIN-TERM,drone,on,1073581256,20489438,94,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542077_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10TCP_src20489438_e0094.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559553_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489438_e0094.txt,candidate_logs_found
MAIN-TERM,drone,on,1239739722,20489439,81,3,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542099_Ev_drone_drone_orig_vh_c.1_s1239739722_SR10TCP_src20489439_e0081.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559554_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489439_e0081.txt,candidate_logs_found
MAIN-TERM,drone,on,1472491096,20489440,1,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542121_Ev_drone_drone_orig_vh_c.1_s1472491096_SR10TCP_src20489440_e0001.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559555_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489440_e0001.txt,candidate_logs_found
MAIN-TERM,drone,on,1510771779,20489441,31,7,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542143_Ev_drone_drone_orig_vh_c.1_s1510771779_SR10TCP_src20489441_e0031.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559557_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489441_e0031.txt,candidate_logs_found
MAIN-TERM,drone,on,1963100312,20489442,0,4,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20542144_Ev_drone_drone_orig_vh_c.1_s1963100312_SR10TCP_src20489442_e0000.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559558_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489442_e0000.txt,candidate_logs_found
