csv_path,rows,classification,result_like,provenance_fields,provenance_status,parse_state,sha256
experiment_tracking/rover_interrupted_mcts_recovery_followup_manifest_20260908.csv,1,historical_or_supporting,0,source_job_id;checkpoint;checkpoint_b64;source_log;source_completion_ledger;source_invocation_count,inline_or_pointer_present,ok,7ef6141e2db4ac1e2178ec8c5c0d26424a6ff163f359c8de94f3e23066c91ead
experiment_tracking/rover_interrupted_mcts_recovery_followup_submission_20260908.csv,2,historical_or_supporting,0,array_job_id;manifest,inline_or_pointer_present,ok,54acde6fd8f84c6365c43d3218777423b2656dc26516c460b94806cc9c0fd187
experiment_tracking/rover_interrupted_mcts_recovery_manifest_20260908.csv,21,historical_or_supporting,0,source_job_id;checkpoint;checkpoint_b64;source_log;source_completion_ledger;source_invocation_count,inline_or_pointer_present,ok,f9504650f2be5fee037ea770a83c1334366f99caa7ab59228bfabe624ce83406
experiment_tracking/rover_interrupted_mcts_recovery_submission_20260908.csv,1,historical_or_supporting,0,array_job_id;manifest_csv;manifest_tsv;source_audit,inline_or_pointer_present,ok,5d60fb5a0b81e5beae29ed0aca24504d77e8b6ca18f33fde1fa3aabd8d022bbf
experiment_tracking/rover_mcts_terminal_additions_20260831.csv,1,historical_or_supporting,1,job_id;source_log,inline_or_pointer_present,ok,722e80b23124419c9f238866fa398ea11bbc62453149142e6780ef5e0940718b
experiment_tracking/rover_stage2_terminal_mcts_20260901.csv,20,historical_or_supporting,1,mcts_job_id;source_log,inline_or_pointer_present,ok,a074532362e89d4dcd5269cee2b373a30cb9cd94b34cf0f228cf4d793c7b4080
experiment_tracking/rover_validation_seed_results_20260906.csv,20,historical_or_supporting,1,job_id;policy_log;training_log;checkpoint;mcts_log,inline_or_pointer_present,ok,8031a91fb2fa145eb17b2438fcada139e9e0dbb02facc491ee2381606ad44c5d
experiment_tracking/rq3_value_head_on_stage2_direct_latest.csv,10,current_canonical,1,source_results_file,inline_or_pointer_present,ok,aa7d41100f6d8b585ad055204b91767589509396c4d48adf2ab40991d67bb7f1
experiment_tracking/rq_results_latest.csv,4,current_canonical,0,row_level_provenance,inline_or_pointer_present,ok,9f1e2e9537055cc4435e3f1274691a3d961d29e34933f7a747ad67c87713239e
experiment_tracking/snapshot_provenance_index_20260905.csv,10,historical_or_supporting,0,,not_a_result_table,ok,70209d1ccd0200cb297d43799e8942f406db50f29a46694085f291670500ce45
experiment_tracking/snapshot_provenance_index_20260906.csv,12,historical_or_supporting,0,,not_a_result_table,ok,ed8aed209d5f728fe02574c011d9232975c01965cf5fe49757cdadcac387157a
experiment_tracking/snapshot_provenance_index_20260907.csv,13,historical_or_supporting,0,row_level_source,inline_or_pointer_present,ok,fbfd2135d86aae83c0edbe10ab3b23fe5f46abc097dfa541456f8db5eee3d031
experiment_tracking/snapshot_provenance_index_latest.csv,28,current_canonical,0,row_level_source,inline_or_pointer_present,ok,e1843fa73895390af0fb7c9fef6fac708785d934c36afc3464c9e8de39948f6a
