experiment_id,comparison,domain,value_head,seed,policy_score,mcts_score,difference,mcts_state,width,iterations,puct,estimator,instance_timeouts,unprocessed_after_job_end,policy_log,mcts_log,validation_status
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,2011206605,19.0,22.0,3.0,TIMEOUT,20,70,0.1,0.5,30,7,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428752_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20401259_e0037.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430111_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401259_e0037.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1073581256,59.0,34.0,-25.0,COMPLETED,20,70,0.1,0.5,25,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428778_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20401260_e0003.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430113_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401260_e0003.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1239739722,17.0,17.0,0.0,TIMEOUT,20,70,0.1,0.5,33,9,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430116_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401261_e0005.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1472491096,38.0,32.0,-6.0,TIMEOUT,20,70,0.1,0.5,21,6,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428811_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430118_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401262_e0020.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,534933607,59.0,21.0,-38.0,TIMEOUT,20,70,0.1,0.5,32,6,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429101_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20401263_e0043.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430120_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401263_e0043.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,2082152039,35.0,20.0,-15.0,TIMEOUT,20,70,0.1,0.5,30,9,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430123_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401264_e0012.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1510771779,10.0,17.0,7.0,TIMEOUT,20,70,0.1,0.5,24,18,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430125_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401265_e0001.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,923500475,59.0,18.0,-41.0,TIMEOUT,20,70,0.1,0.5,32,9,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429173_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20401266_e0012.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430127_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401266_e0012.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,off,1972442430,12.0,15.0,3.0,TIMEOUT,20,70,0.1,0.5,28,16,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429194_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20401267_e0053.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430129_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401267_e0053.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1963100312,3.0,11.0,8.0,TIMEOUT,20,70,0.1,0.5,33,15,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429486_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10P_src20401268_e0204.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430132_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401268_e0204.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,2011206605,7.0,12.0,5.0,TIMEOUT,20,70,0.1,0.5,30,17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429498_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10P_src20401269_e0009.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430134_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401269_e0009.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1073581256,59.0,22.0,-37.0,TIMEOUT,20,70,0.1,0.5,18,19,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430136_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401270_e0042.txt,posthoc_VAL_valid
