snapshot_time,experiment_id,job_id,state,reason,elapsed,time_limit,cpus,memory,array_tasks,job_name
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755760,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1963100312_K0_P3TERMS2A10_src20523005
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755759,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A10_src20523026
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755757,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1472491096_K0_P3TERMS2A10_src20523017
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755756,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A10_src20523013
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755755,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A10_src20523010
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755754,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s923500475_K0_P3TERMS2A10_src20523029
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755753,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755752,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2082152039_K0_P3TERMS2A3_src20523053
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755750,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s2011206605_K0_P3TERMS2A3_src20523038
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755749,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1972442430_K0_P3TERMS2A3_src20523062
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755748,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1963100312_K0_P3TERMS2A3_src20523035
