experiment_id,comparison,domain,value_head,seed,before_score,after_score,difference,before_training_job,before_evaluation_job,before_log,after_training_job,after_evaluation_job,after_log
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1510771779,3.0,4.0,1.0,20401275,20429872,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429872_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10P_src20401275_e0041.txt,20430434,20465494,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465494_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10P_src20430434_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1963100312,3.0,3.0,0.0,20401268,20429486,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429486_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10P_src20401268_e0204.txt,20430427,20465252,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465252_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10P_src20430427_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,1972442430,15.0,23.0,8.0,20401277,20429894,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429894_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10P_src20401277_e0001.txt,20430436,20488484,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488484_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10P_src20430436_e0030.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,2011206605,7.0,7.0,0.0,20401269,20429498,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429498_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10P_src20401269_e0009.txt,20430428,20465349,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465349_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10P_src20430428_e0067.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,counters,on,2082152039,9.0,12.0,3.0,20401274,20429840,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429840_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10P_src20401274_e0097.txt,20430433,20465493,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465493_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10P_src20430433_e0004.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,534933607,11.0,8.0,-3.0,20401213,20450836,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450836_Ev_drone_drone_orig_novh_c.1_s534933607_SR10P_src20401213_e0069.txt,20451802,20489106,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20489106_Ev_drone_drone_orig_novh_c.1_s534933607_SR10P_src20451802_e0063.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,923500475,2.0,3.0,1.0,20401216,20425862,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425862_Ev_drone_drone_orig_novh_c.1_s923500475_SR10P_src20401216_e0001.txt,20430376,20464888,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20464888_Ev_drone_drone_orig_novh_c.1_s923500475_SR10P_src20430376_e0016.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1073581256,5.0,12.0,7.0,20401209,20450765,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,20451800,20523246,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523246_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20451800_e0014.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1239739722,5.0,4.0,-1.0,20401210,20425819,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425819_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10P_src20401210_e0051.txt,20430373,20464792,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20464792_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10P_src20430373_e0056.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1472491096,10.0,12.0,2.0,20401212,20450812,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450812_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20401212_e0092.txt,20451801,20523269,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523269_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20451801_e0014.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1510771779,3.0,3.0,0.0,20401215,20425851,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425851_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10P_src20401215_e0016.txt,20430375,20464816,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20464816_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10P_src20430375_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1963100312,11.0,9.0,-2.0,20401207,20450747,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450747_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20401207_e0157.txt,20451799,20523202,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523202_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20451799_e0010.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,1972442430,3.0,6.0,3.0,20401217,20450904,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450904_Ev_drone_drone_orig_novh_c.1_s1972442430_SR10P_src20401217_e0067.txt,20451803,20489129,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20489129_Ev_drone_drone_orig_novh_c.1_s1972442430_SR10P_src20451803_e0092.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,drone,off,2011206605,5.0,4.0,-1.0,20401208,20425786,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425786_Ev_drone_drone_orig_novh_c.1_s2011206605_SR10P_src20401208_e0040.txt,20430372,20464768,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20464768_Ev_drone_drone_orig_novh_c.1_s2011206605_SR10P_src20430372_e0001.txt
