snapshot_time_idt,experiment,job_id,job_name,state,cpus,memory_gib,elapsed,time_limit,node_or_reason,log_path
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039218,pw70-ten-rover-on-1510771779-s1,RUNNING,6,120.0,2:27,3-00:00:00,ise-cpu256-01,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039218_pw70-ten-rover-on-1510771779-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039216,pw70-ten-rover-on-1239739722-s1,RUNNING,6,120.0,2:31,3-00:00:00,ise-cpu256-15,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039216_pw70-ten-rover-on-1239739722-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039217,pw70-ten-rover-on-1472491096-s1,RUNNING,6,120.0,2:31,3-00:00:00,ise-cpu256-13,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039217_pw70-ten-rover-on-1472491096-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039215,pw70-ten-rover-off-2082152039-s1,RUNNING,6,120.0,3:29,3-00:00:00,ise-cpu256-31,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039215_pw70-ten-rover-off-2082152039-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039214,pw70-ten-rover-off-1972442430-s1,RUNNING,6,120.0,4:31,3-00:00:00,ise-cpu256-31,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039214_pw70-ten-rover-off-1972442430-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039213,pw70-ten-rover-off-1510771779-s1,RUNNING,6,120.0,4:32,3-00:00:00,ise-cpu256-30,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039213_pw70-ten-rover-off-1510771779-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039212,pw70-ten-rover-off-1472491096-s1,RUNNING,6,120.0,5:02,3-00:00:00,ise-cpu256-30,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039212_pw70-ten-rover-off-1472491096-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039210,pw70-ten-fo_counters-on-2082152039-s1,RUNNING,6,120.0,7:06,3-00:00:00,ise-cpu256-31,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039210_pw70-ten-fo_counters-on-2082152039-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039211,pw70-ten-rover-off-1239739722-s1,RUNNING,6,120.0,7:06,3-00:00:00,ise-cpu256-31,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039211_pw70-ten-rover-off-1239739722-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039208,pw70-ten-fo_counters-on-1510771779-s1,RUNNING,6,120.0,9:26,3-00:00:00,ise-cpu256-28,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039208_pw70-ten-fo_counters-on-1510771779-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039209,pw70-ten-fo_counters-on-1972442430-s1,RUNNING,6,120.0,9:26,3-00:00:00,ise-cpu256-28,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039209_pw70-ten-fo_counters-on-1972442430-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039206,pw70-ten-fo_counters-on-1239739722-s1,RUNNING,6,120.0,9:32,3-00:00:00,ise-cpu256-30,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039206_pw70-ten-fo_counters-on-1239739722-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039207,pw70-ten-fo_counters-on-1472491096-s1,RUNNING,6,120.0,9:32,3-00:00:00,ise-cpu256-30,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039207_pw70-ten-fo_counters-on-1472491096-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039202,pw70-ten-fo_counters-off-1472491096-s1,RUNNING,6,120.0,9:57,3-00:00:00,ise-cpu256-24,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039202_pw70-ten-fo_counters-off-1472491096-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039203,pw70-ten-fo_counters-off-1510771779-s1,RUNNING,6,120.0,9:57,3-00:00:00,ise-cpu256-17,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039203_pw70-ten-fo_counters-off-1510771779-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039204,pw70-ten-fo_counters-off-1972442430-s1,RUNNING,6,120.0,9:57,3-00:00:00,ise-cpu256-28,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039204_pw70-ten-fo_counters-off-1972442430-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039205,pw70-ten-fo_counters-off-2082152039-s1,RUNNING,6,120.0,9:57,3-00:00:00,ise-cpu256-28,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039205_pw70-ten-fo_counters-off-2082152039-s1.txt
2026-09-06T12:31:30+03:00,PW70 ten-seed FO/Rover expansion,21039201,pw70-ten-fo_counters-off-1239739722-s1,RUNNING,6,120.0,10:01,3-00:00:00,ise-cpu256-30,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039201_pw70-ten-fo_counters-off-1239739722-s1.txt
2026-09-06T12:31:30+03:00,Counters exact-snapshot PW70 divergence recovery,20863185,pw-counters-divergence-off-534933607-sim70,RUNNING,6,120.0,6:28:25,3-00:00:00,cs-cpu-11,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20863185_pw-counters-divergence-off-534933607-sim70.txt
2026-09-06T12:31:30+03:00,Counters exact-snapshot PW70 divergence recovery,20863189,pw-counters-divergence-off-2082152039-sim70,RUNNING,6,120.0,2-20:40:34,3-00:00:00,ise-cpu128-09,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20863189_pw-counters-divergence-off-2082152039-sim70.txt
