job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20559549,,,off,2011206605,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559549_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489434_e0009.txt,drone_endpoint_mcts_results.csv
20559550,,,off,2082152039,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559550_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489435_e0006.txt,drone_endpoint_mcts_results.csv
20559551,,,on,534933607,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559551_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489436_e0014.txt,drone_endpoint_mcts_results.csv
20559552,,,on,923500475,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559552_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489437_e0047.txt,drone_endpoint_mcts_results.csv
20559553,,,on,1073581256,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559553_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489438_e0094.txt,drone_endpoint_mcts_results.csv
20559554,,,on,1239739722,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559554_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10TCM_src20489439_e0081.txt,drone_endpoint_mcts_results.csv
20559555,,,on,1472491096,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559555_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489440_e0001.txt,drone_endpoint_mcts_results.csv
20559557,,,on,1510771779,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559557_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489441_e0031.txt,drone_endpoint_mcts_results.csv
20559558,,,on,1963100312,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559558_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10TCM_src20489442_e0000.txt,drone_endpoint_mcts_results.csv
20559559,,,on,1972442430,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559559_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489443_e0054.txt,drone_endpoint_mcts_results.csv
20559560,,,on,2011206605,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559560_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489444_e0092.txt,drone_endpoint_mcts_results.csv
20559561,,,on,2082152039,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559561_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10TCM_src20489445_e0002.txt,drone_endpoint_mcts_results.csv
20559650,,,on,534933607,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage1_long_mcts_eval/20559650_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10LONGM_src20451695_e0293.txt,drone_endpoint_mcts_results.csv
20559651,,,off,1963100312,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage1_long_mcts_eval/20559651_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10LONGM_src20451696_e0300.txt,drone_endpoint_mcts_results.csv
20559652,,,off,1472491096,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_stage1_long_mcts_eval/20559652_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10LONGM_src20451697_e0204.txt,drone_endpoint_mcts_results.csv
20620632,,,off,1963100312,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620632_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_pw-drone-off-1963100312-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620633,,,off,1963100312,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620633_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_pw-drone-off-1963100312-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
