experiment_id,stage2_branch,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,classified_instances,evidence_status,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-TERM,terminal_led,counters,off,534933607,narrow5/20,6.0,8,8,8,59,complete_declared_budget,20974346,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541388_Ev_counters_counters_orig_novh_c.1_s534933607_SR10TCP_src20489405_e0036.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974346_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036.txt,
MAIN-TERM,terminal_led,counters,off,923500475,narrow5/20,59.0,49,59,59,59,complete_declared_budget,20974537,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541389_Ev_counters_counters_orig_novh_c.1_s923500475_SR10TCP_src20489406_e0024.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974537_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20489406_e0024.txt,
MAIN-TERM,terminal_led,counters,off,1073581256,narrow5/20,38.0,36,36,36,57,complete_declared_budget,20974538,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541390_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10TCP_src20489407_e0031.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974538_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031.txt,
MAIN-TERM,terminal_led,counters,off,1239739722,narrow5/20,36.0,37,37,37,59,complete_declared_budget,20974539,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541391_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10TCP_src20489408_e0018.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974539_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018.txt,
MAIN-TERM,terminal_led,counters,off,1472491096,narrow5/20,35.0,35,35,35,56,complete_declared_budget,20974540,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541392_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10TCP_src20489409_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974540_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002.txt,
MAIN-TERM,terminal_led,counters,off,1510771779,narrow5/20,34.0,34,34,34,58,complete_declared_budget,20974542,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523734_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10TCP_src20489410_e0045.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974542_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20489410_e0045.txt,
MAIN-TERM,terminal_led,counters,off,1963100312,narrow5/20,56.0,39,51,57,59,complete_declared_budget,20974353,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541393_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10TCP_src20489411_e0042.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974353_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042.txt,
MAIN-TERM,terminal_led,counters,off,1972442430,narrow5/20,29.0,30,30,30,58,complete_declared_budget,20974354,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541394_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10TCP_src20489412_e0094.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974354_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094.txt,
MAIN-TERM,terminal_led,counters,off,2011206605,narrow5/20,59.0,52,59,59,59,complete_declared_budget,20974543,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541395_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10TCP_src20489413_e0003.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974543_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20489413_e0003.txt,
MAIN-TERM,terminal_led,counters,off,2082152039,narrow5/20,27.0,29,29,29,59,complete_declared_budget,20974544,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541396_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10TCP_src20489414_e0082.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974544_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20489414_e0082.txt,
