branch,domain,value_head,seed,stage1_endpoint,stage1_epoch,stage1_score,stage2_epoch,stage2_epoch0_score,change_after_first_update,total,stage1_training_job_id,stage2_training_job_id,epoch0_evaluation_job_id,source_stage1_training_log,source_stage1_evaluation_log,source_stage2_training_log,source_epoch0_evaluation_log
MAIN-TERM,counters,off,534933607,final,93,4,0,4,0,59,20401263,20489405,20523490,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401263_Tr_counters_counters_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489196_Ev_counters_counters_orig_novh_c.1_s534933607_SR10TCP_src20401263_e0093.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489405_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCT_src20401263_e0093.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523490_Ev_counters_counters_orig_novh_c.1_s534933607_SR10TCP_src20489405_e0000.txt
MAIN-TERM,counters,off,923500475,final,62,45,0,47,2,59,20401266,20489406,20523610,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401266_Tr_counters_counters_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489197_Ev_counters_counters_orig_novh_c.1_s923500475_SR10TCP_src20401266_e0062.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489406_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCT_src20401266_e0062.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523610_Ev_counters_counters_orig_novh_c.1_s923500475_SR10TCP_src20489406_e0000.txt
MAIN-TERM,counters,off,1073581256,final,53,59,0,26,-33,59,20401260,20489407,20523631,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401260_Tr_counters_counters_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489198_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10TCP_src20401260_e0053.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489407_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCT_src20401260_e0053.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523631_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10TCP_src20489407_e0000.txt
MAIN-TERM,counters,off,1239739722,final,55,17,0,23,6,59,20401261,20489408,20523675,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401261_Tr_counters_counters_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428802_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0055.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489408_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCT_src20401261_e0055.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523675_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10TCP_src20489408_e0000.txt
MAIN-TERM,counters,off,1472491096,final,70,26,0,19,-7,59,20401262,20489409,20523696,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401262_Tr_counters_counters_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429057_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20401262_e0070.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489409_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCT_src20401262_e0070.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523696_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10TCP_src20489409_e0000.txt
MAIN-TERM,counters,off,1510771779,final,51,13,0,18,5,59,20401265,20489410,20523725,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401265_Tr_counters_counters_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489199_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10TCP_src20401265_e0051.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489410_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCT_src20401265_e0051.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523725_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10TCP_src20489410_e0000.txt
MAIN-TERM,counters,off,1963100312,final,151,14,0,4,-10,59,20401258,20489411,20523746,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401258_Tr_counters_counters_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489200_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10TCP_src20401258_e0151.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489411_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCT_src20401258_e0151.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523746_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10TCP_src20489411_e0000.txt
MAIN-TERM,counters,off,1972442430,final,103,11,0,18,7,59,20401267,20489412,20523833,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401267_Tr_counters_counters_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489201_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10TCP_src20401267_e0103.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489412_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCT_src20401267_e0103.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523833_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10TCP_src20489412_e0000.txt
MAIN-TERM,counters,off,2011206605,final,87,15,0,46,31,59,20401259,20489413,20523863,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401259_Tr_counters_counters_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489202_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10TCP_src20401259_e0087.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489413_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCT_src20401259_e0087.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523863_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10TCP_src20489413_e0000.txt
MAIN-TERM,counters,off,2082152039,final,62,11,0,19,8,59,20401264,20489414,20523891,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401264_Tr_counters_counters_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489203_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10TCP_src20401264_e0062.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489414_Re-Tr_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCT_src20401264_e0062.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523891_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10TCP_src20489414_e0000.txt
