experiment_id,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-VAL,drone,off,1073581256,width20_sim70,5.0,6,6,6,20451723,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451723.eval_completed.jsonl
MAIN-VAL,drone,off,1239739722,width20_sim70,5.0,8,8,8,20430058,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425819_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10P_src20401210_e0051.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430058.eval_completed.jsonl
MAIN-VAL,drone,off,1472491096,width20_sim70,10.0,11,11,11,20451724,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450812_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10P_src20401212_e0092.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451724.eval_completed.jsonl
MAIN-VAL,drone,off,534933607,width20_sim70,11.0,10,10,10,20451725,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450836_Ev_drone_drone_orig_novh_c.1_s534933607_SR10P_src20401213_e0069.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451725.eval_completed.jsonl
MAIN-VAL,drone,off,2082152039,width20_sim70,4.0,6,6,6,20430059,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425837_Ev_drone_drone_orig_novh_c.1_s2082152039_SR10P_src20401214_e0038.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430059_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401214_e0038.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430059.eval_completed.jsonl
MAIN-VAL,drone,off,1510771779,width20_sim70,3.0,5,5,5,20430060,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425851_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10P_src20401215_e0016.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430060_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401215_e0016.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430060.eval_completed.jsonl
MAIN-VAL,drone,off,923500475,width20_sim70,2.0,2,2,2,20430061,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425862_Ev_drone_drone_orig_novh_c.1_s923500475_SR10P_src20401216_e0001.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430061_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401216_e0001.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430061.eval_completed.jsonl
MAIN-VAL,drone,off,1972442430,width20_sim70,3.0,4,4,4,20451726,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450904_Ev_drone_drone_orig_novh_c.1_s1972442430_SR10P_src20401217_e0067.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451726_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401217_e0067.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451726.eval_completed.jsonl
MAIN-VAL,drone,on,1963100312,width20_sim70,2.0,3,3,3,20430050,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425373_Ev_drone_drone_orig_vh_c.1_s1963100312_SR10P_src20401197_e0001.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430050_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401197_e0001.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430050.eval_completed.jsonl
MAIN-VAL,drone,on,2011206605,width20_sim70,6.0,7,8,8,20430051,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425406_Ev_drone_drone_orig_vh_c.1_s2011206605_SR10P_src20401198_e0019.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430051_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401198_e0019.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430051.eval_completed.jsonl
