job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20974538,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031,RUNNING,00:06:13,2026-09-05T13:10:03,Unknown,ise-cpu128-02,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974538_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20489407_e0031.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974538.eval_completed.jsonl
20974539,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018,RUNNING,00:06:13,2026-09-05T13:10:03,Unknown,ise-cpu128-02,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974539_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20489408_e0018.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974539.eval_completed.jsonl
20974540,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002,RUNNING,00:06:13,2026-09-05T13:10:03,Unknown,ise-cpu128-05,6,120G,24,24,24,24,24,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974540_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20489409_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974540.eval_completed.jsonl
20974353,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-18,6,120G,23,21,21,21,21,2,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974353_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20489411_e0042.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974353.eval_completed.jsonl
20974354,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-19,6,120G,28,28,28,28,28,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974354_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20489412_e0094.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974354.eval_completed.jsonl
20974359,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-06,6,120G,9,7,7,7,7,2,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974359_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974359.eval_completed.jsonl
20974360,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-06,6,120G,17,17,17,17,17,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974360_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974360.eval_completed.jsonl
20974361,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-02,6,120G,9,7,7,7,7,2,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974361_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974361.eval_completed.jsonl
20974362,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-04,6,120G,25,25,25,25,25,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974362_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974362.eval_completed.jsonl
20974363,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-03,6,120G,18,18,18,18,18,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974363_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974363.eval_completed.jsonl
