experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,recorded_instances,total_instances,unclassified_instances,recorded_successes,recorded_unsolved,recorded_timeouts,successes_le_1800s,successes_le_7200s,successes_le_21600s
,counters-off-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,2082152039,fixed_narrow_w5,20,20649850,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649850_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430423_e0000.txt,59,59,0,59,0,0,50,59,59
,counters-off-1510771779-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1510771779,fixed_narrow_w5,20,20649851,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649851_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430424_e0037.txt,57,59,2,48,4,5,48,48,48
,counters-off-923500475-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,923500475,fixed_narrow_w5,20,20649852,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649852_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430425_e0000.txt,59,59,0,33,23,3,33,33,33
,counters-off-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1972442430,fixed_narrow_w5,20,20649853,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649853_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430426_e0082.txt,59,59,0,38,8,13,38,38,38
,counters-on-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,2011206605,fixed_narrow_w5,20,20649855,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649855_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430428_e0067.txt,59,59,0,14,45,0,14,14,14
,counters-on-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1073581256,fixed_narrow_w5,20,20649856,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649856_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430429_e0016.txt,59,59,0,56,3,0,36,50,56
,counters-on-1239739722-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1239739722,fixed_narrow_w5,20,20649857,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649857_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430430_e0028.txt,59,59,0,21,38,0,18,21,21
,counters-on-1472491096-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1472491096,fixed_narrow_w5,20,20649858,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649858_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20430431_e0000.txt,58,59,1,7,37,14,7,7,7
,counters-on-534933607-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,534933607,fixed_narrow_w5,20,20649859,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649859_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20430432_e0002.txt,59,59,0,59,0,0,44,58,59
,counters-on-2082152039-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,2082152039,fixed_narrow_w5,20,20649860,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649860_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20430433_e0004.txt,59,59,0,19,40,0,19,19,19
,counters-on-923500475-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,923500475,fixed_narrow_w5,20,20649862,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649862_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20430435_e0001.txt,59,59,0,28,23,8,24,28,28
,counters-on-1972442430-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,on,1972442430,fixed_narrow_w5,20,20649863,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649863_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20430436_e0030.txt,58,59,1,24,6,28,24,24,24
MCTS-PW-CROSS-DOMAIN,fixed-bg-off-1963100312,block_grouping,stage1,off,1963100312,fixed_narrow_w5,20,20594580,COMPLETED,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594580_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401187_e0044.txt,20,20,0,15,5,0,12,15,15
MCTS-PW-CROSS-DOMAIN,fixed-bg-off-2011206605,block_grouping,stage1,off,2011206605,fixed_narrow_w5,20,20594581,COMPLETED,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594581_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401188_e0040.txt,20,20,0,15,5,0,10,12,15
MCTS-PW-CROSS-DOMAIN,fixed-bg-on-1963100312,block_grouping,stage1,on,1963100312,fixed_narrow_w5,20,20430030,COMPLETED,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430030_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401177_e0004.txt,20,20,0,17,3,0,11,13,17
MCTS-PW-CROSS-DOMAIN,fixed-bg-on-2011206605,block_grouping,stage1,on,2011206605,fixed_narrow_w5,20,20430031,COMPLETED,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430031_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401178_e0026.txt,20,20,0,17,2,1,12,14,17
MCTS-PW-CROSS-DOMAIN,fixed-counters-s1-on-2011206605-narrow,counters,stage1,on,2011206605,fixed_narrow_w5,20,20620559,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage1_mcts_eval/20620559_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401269_e0009.txt,59,59,0,14,45,0,14,14,14
MCTS-PW-CROSS-DOMAIN,fixed-counters-s1-on-2011206605-normal,counters,stage1,on,2011206605,fixed_normal_w20,70,20430134,TIMEOUT,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430134_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401269_e0009.txt,42,59,17,12,0,30,11,12,12
MCTS-PW-CROSS-DOMAIN,fixed-fo-counters-s1-off-1963100312-normal,fo_counters,stage1,off,1963100312,fixed_normal_w20,70,20430072,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt,19,20,1,9,0,10,9,9,9
