value_head,seed,selected_epoch,policy_score,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,pw70_final,expected_instances,declared_result_status,job_id,local_stdout_log,remote_stdout_log,local_completion_ledger,remote_completion_ledger,fixed_seed_source
on,534933607,30,17.0,12,14,14,15,16,19,19,20,complete_terminal_20_instance_denominator,21259754_0,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259754_0.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259754_0.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-534933607-e0030-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/534933607/full/completion/mprime-s1-phase-b-a-on-534933607-e0030-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,923500475,35,14.0,11,13,15,14,17,18,18,20,complete_terminal_20_instance_denominator,21259754_1,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259754_1.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259754_1.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-923500475-e0035-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/923500475/full/completion/mprime-s1-phase-b-a-on-923500475-e0035-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1073581256,15,12.0,11,15,18,14,17,19,19,20,complete_terminal_20_instance_denominator,21259754_2,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259754_2.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259754_2.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1073581256-e0015-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1073581256/full/completion/mprime-s1-phase-b-a-on-1073581256-e0015-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1239739722,20,16.0,15,15,17,17,17,17,17,20,complete_terminal_20_instance_denominator,21264782_3,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21264782_3.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21264782_3.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1239739722-e0020-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1239739722/full/completion/mprime-s1-phase-b-a-on-1239739722-e0020-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1472491096,5,18.0,13,14,15,16,19,19,19,20,complete_terminal_20_instance_denominator,21259755_0,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259755_0.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259755_0.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1472491096-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1472491096/full/completion/mprime-s1-phase-b-a-on-1472491096-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1510771779,45,17.0,11,14,15,15,17,17,17,20,complete_terminal_20_instance_denominator,21259755_1,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259755_1.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259755_1.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1510771779-e0045-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1510771779/full/completion/mprime-s1-phase-b-a-on-1510771779-e0045-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1963100312,6,17.0,14,16,16,16,18,18,18,20,complete_terminal_20_instance_denominator,21240256_2,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21240256_2.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21240256_2.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1963100312-e0006-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1963100312/full/completion/mprime-s1-phase-b-a-on-1963100312-e0006-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,1972442430,5,17.0,15,17,17,16,20,20,20,20,complete_terminal_20_instance_denominator,21259755_2,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259755_2.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259755_2.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-1972442430-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/1972442430/full/completion/mprime-s1-phase-b-a-on-1972442430-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,2011206605,5,16.0,17,17,17,16,20,20,20,20,complete_terminal_20_instance_denominator,21240256_3,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21240256_3.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21240256_3.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-2011206605-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/2011206605/full/completion/mprime-s1-phase-b-a-on-2011206605-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
on,2082152039,5,13.0,14,16,16,16,18,18,18,20,complete_terminal_20_instance_denominator,21259755_3,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259755_3.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259755_3.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/on/mprime-s1-phase-b-a-on-2082152039-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/on/2082152039/full/completion/mprime-s1-phase-b-a-on-2082152039-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
