research_question,domain,epoch,n_runs,total_runs,stage1_baseline_percent,paper_baseline_percent,minimum_percent,maximum_percent,mean_percent,median_percent,best_configuration,best_configuration_mean_percent
RQ1,fo_counters,20,22,22,30.0,30.0,5.0,20.0,9.545454545454545,10.0,beta=30.0,17.5
RQ1,fo_counters,25,22,22,30.0,30.0,5.0,20.0,7.954545454545454,5.0,beta=30.0,17.5
RQ1,fo_counters,30,22,22,30.0,30.0,5.0,15.0,8.636363636363637,10.0,beta=30.0,15.0
RQ1,fo_counters,35,22,22,30.0,30.0,5.0,20.0,8.181818181818182,5.0,beta=30.0,17.5
RQ1,fo_counters,40,22,22,30.0,30.0,5.0,25.0,7.954545454545454,5.0,beta=30.0,20.0
RQ1,fo_counters,45,22,22,30.0,30.0,5.0,20.0,7.7272727272727275,5.0,beta=30.0,17.5
RQ1,fo_counters,50,22,22,30.0,30.0,5.0,15.0,8.181818181818182,7.5,beta=30.0,15.0
RQ1,fo_counters,55,22,22,30.0,30.0,5.0,15.0,6.818181818181818,5.0,beta=30.0,12.5
RQ1,fo_counters,60,22,22,30.0,30.0,5.0,15.0,7.954545454545454,7.5,beta=30.0,15.0
RQ1,fo_counters,65,22,22,30.0,30.0,5.0,15.0,7.5,5.0,beta=30.0,15.0
RQ1,fo_counters,70,22,22,30.0,30.0,5.0,15.0,7.7272727272727275,5.0,beta=30.0,15.0
RQ1,fo_counters,75,22,22,30.0,30.0,5.0,15.0,7.045454545454546,5.0,beta=30.0,12.5
RQ1,fo_counters,80,22,22,30.0,30.0,5.0,15.0,6.818181818181818,5.0,beta=30.0,12.5
RQ1,fo_counters,85,22,22,30.0,30.0,5.0,15.0,7.7272727272727275,5.0,beta=30.0,15.0
RQ1,fo_counters,90,22,22,30.0,30.0,5.0,10.0,6.818181818181818,5.0,beta=30.0,10.0
RQ1,fo_counters,95,22,22,30.0,30.0,5.0,15.0,7.5,5.0,beta=30.0,15.0
RQ1,fo_counters,99,22,22,30.0,30.0,5.0,20.0,7.954545454545454,5.0,beta=30.0,17.5
RQ1,rover,0,22,22,20.0,35.0,15.0,20.0,19.772727272727273,20.0,beta=0.0,20.0
RQ1,rover,5,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,10,22,22,20.0,35.0,15.0,20.0,19.772727272727273,20.0,beta=0.0,20.0
RQ1,rover,15,22,22,20.0,35.0,15.0,20.0,19.545454545454547,20.0,beta=0.0,20.0
RQ1,rover,20,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,25,22,22,20.0,35.0,15.0,20.0,19.772727272727273,20.0,beta=0.0,20.0
RQ1,rover,30,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,35,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,40,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,45,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,50,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,55,22,22,20.0,35.0,15.0,20.0,19.772727272727273,20.0,beta=0.0,20.0
RQ1,rover,60,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,65,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,70,22,22,20.0,35.0,15.0,20.0,19.545454545454547,20.0,beta=0.0,20.0
RQ1,rover,75,22,22,20.0,35.0,15.0,20.0,19.772727272727273,20.0,beta=0.0,20.0
RQ1,rover,80,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,85,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,90,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,95,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ1,rover,99,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=0.0,20.0
RQ3,block_grouping,0,22,22,80.0,85.0,55.0,65.0,57.72727272727273,55.0,beta=1.0,60.0
RQ3,block_grouping,5,22,22,80.0,85.0,55.0,85.0,66.13636363636364,70.0,beta=1.0,75.0
RQ3,block_grouping,10,22,22,80.0,85.0,60.0,80.0,70.45454545454545,70.0,beta=1.0,80.0
RQ3,block_grouping,15,22,22,80.0,85.0,60.0,70.0,67.27272727272727,70.0,beta=1.0,67.5
RQ3,block_grouping,20,22,22,80.0,85.0,60.0,80.0,69.54545454545455,70.0,beta=1.0,75.0
RQ3,block_grouping,25,22,22,80.0,85.0,60.0,80.0,67.5,70.0,beta=1.0,72.5
RQ3,block_grouping,30,22,22,80.0,85.0,60.0,80.0,69.77272727272727,70.0,beta=1.0,77.5
RQ3,block_grouping,35,22,22,80.0,85.0,60.0,80.0,70.22727272727273,70.0,beta=1.0,72.5
RQ3,block_grouping,40,22,22,80.0,85.0,55.0,80.0,68.63636363636364,70.0,beta=1.0,75.0
RQ3,block_grouping,45,22,22,80.0,85.0,55.0,80.0,69.77272727272727,70.0,beta=1.0,72.5
RQ3,block_grouping,50,22,22,80.0,85.0,55.0,80.0,68.63636363636364,70.0,beta=1.0,75.0
RQ3,block_grouping,55,22,22,80.0,85.0,60.0,80.0,71.13636363636364,70.0,beta=1.0,77.5
RQ3,block_grouping,60,22,22,80.0,85.0,55.0,75.0,66.13636363636364,65.0,beta=1.0,75.0
RQ3,block_grouping,65,22,22,80.0,85.0,55.0,80.0,68.18181818181819,70.0,beta=1.0,72.5
RQ3,block_grouping,70,22,22,80.0,85.0,55.0,80.0,66.81818181818181,70.0,beta=1.0,70.0
RQ3,block_grouping,75,22,22,80.0,85.0,55.0,80.0,68.86363636363636,70.0,beta=1.0,75.0
RQ3,block_grouping,80,22,22,80.0,85.0,55.0,75.0,68.4090909090909,70.0,beta=1.0,72.5
RQ3,block_grouping,85,22,22,80.0,85.0,55.0,80.0,69.31818181818181,70.0,beta=1.0,75.0
RQ3,block_grouping,90,22,22,80.0,85.0,60.0,80.0,69.54545454545455,70.0,beta=1.0,77.5
RQ3,block_grouping,95,22,22,80.0,85.0,60.0,80.0,68.4090909090909,70.0,beta=1.0,75.0
RQ3,block_grouping,99,22,22,80.0,85.0,55.0,80.0,68.86363636363636,70.0,beta=1.0,80.0
RQ3,counters,0,16,16,20.338983050847457,28.8135593220339,10.169491525423728,23.728813559322035,15.042372881355933,11.864406779661017,beta=30.0,23.728813559322035
RQ3,counters,5,16,16,20.338983050847457,28.8135593220339,6.779661016949152,27.11864406779661,14.61864406779661,11.864406779661017,beta=30.0,26.271186440677965
RQ3,counters,10,16,16,20.338983050847457,28.8135593220339,5.084745762711864,28.8135593220339,14.088983050847457,11.864406779661017,beta=30.0,27.966101694915253
RQ3,counters,15,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,14.51271186440678,11.864406779661017,beta=30.0,29.661016949152543
RQ3,counters,20,16,16,20.338983050847457,28.8135593220339,5.084745762711864,30.508474576271187,13.559322033898304,11.016949152542374,beta=30.0,29.661016949152543
RQ3,counters,25,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,14.30084745762712,12.711864406779661,beta=30.0,30.508474576271187
RQ3,counters,30,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.665254237288135,12.711864406779661,beta=30.0,29.661016949152543
RQ3,counters,35,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.559322033898304,11.864406779661017,beta=30.0,30.508474576271187
RQ3,counters,40,16,16,20.338983050847457,28.8135593220339,5.084745762711864,30.508474576271187,13.241525423728813,9.322033898305085,beta=30.0,30.508474576271187
RQ3,counters,45,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.029661016949152,8.474576271186441,beta=30.0,29.661016949152543
RQ3,counters,50,16,16,20.338983050847457,28.8135593220339,5.084745762711864,30.508474576271187,13.665254237288135,11.016949152542374,beta=30.0,30.508474576271187
RQ3,counters,55,16,16,20.338983050847457,28.8135593220339,5.084745762711864,30.508474576271187,13.877118644067796,11.864406779661017,beta=30.0,29.661016949152543
RQ3,counters,60,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,14.30084745762712,12.711864406779661,beta=30.0,30.508474576271187
RQ3,counters,65,16,16,20.338983050847457,28.8135593220339,5.084745762711864,28.8135593220339,14.088983050847459,12.711864406779661,beta=30.0,28.8135593220339
RQ3,counters,70,16,16,20.338983050847457,28.8135593220339,3.389830508474576,28.8135593220339,13.665254237288135,12.711864406779661,beta=30.0,28.8135593220339
RQ3,counters,75,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.559322033898304,11.864406779661017,beta=30.0,30.508474576271187
RQ3,counters,80,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.453389830508474,12.711864406779661,beta=30.0,29.661016949152543
RQ3,counters,85,16,16,20.338983050847457,28.8135593220339,5.084745762711864,30.508474576271187,14.40677966101695,12.711864406779661,beta=30.0,29.661016949152543
RQ3,counters,90,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,13.665254237288135,12.711864406779661,beta=30.0,29.661016949152543
RQ3,counters,95,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,14.30084745762712,11.016949152542374,beta=30.0,30.508474576271187
RQ3,counters,99,16,16,20.338983050847457,28.8135593220339,3.389830508474576,30.508474576271187,14.194915254237287,11.864406779661017,beta=30.0,29.661016949152543
RQ3,drone,0,22,22,50.0,45.0,35.0,65.0,50.22727272727273,50.0,beta=3.0,60.0
RQ3,drone,5,22,22,50.0,45.0,25.0,60.0,49.54545454545455,50.0,beta=3.0,55.0
RQ3,drone,10,22,22,50.0,45.0,25.0,60.0,47.72727272727273,50.0,beta=3.0,50.0
RQ3,drone,15,22,22,50.0,45.0,25.0,60.0,46.36363636363637,47.5,beta=3.0,57.5
RQ3,drone,20,22,22,50.0,45.0,20.0,55.0,44.09090909090909,45.0,beta=3.0,52.5
RQ3,drone,25,22,22,50.0,45.0,20.0,60.0,43.63636363636363,42.5,beta=3.0,57.5
RQ3,drone,30,22,22,50.0,45.0,25.0,55.0,42.04545454545455,45.0,beta=3.0,52.5
RQ3,drone,35,22,22,50.0,45.0,20.0,55.0,43.40909090909091,45.0,beta=3.0,55.0
RQ3,drone,40,22,22,50.0,45.0,20.0,55.0,42.04545454545455,42.5,beta=3.0,52.5
RQ3,drone,45,22,22,50.0,45.0,30.0,60.0,42.27272727272727,40.0,beta=3.0,55.0
RQ3,drone,50,22,22,50.0,45.0,30.0,55.0,42.04545454545455,42.5,beta=3.0,52.5
RQ3,drone,55,22,22,50.0,45.0,20.0,50.0,39.09090909090909,37.5,beta=3.0,47.5
RQ3,drone,60,22,22,50.0,45.0,20.0,55.0,39.54545454545455,40.0,beta=3.0,55.0
RQ3,drone,65,22,22,50.0,45.0,20.0,55.0,36.59090909090909,35.0,beta=3.0,50.0
RQ3,drone,70,22,22,50.0,45.0,25.0,55.0,37.95454545454545,35.0,beta=3.0,50.0
RQ3,drone,75,22,22,50.0,45.0,20.0,50.0,36.81818181818182,35.0,beta=3.0,45.0
RQ3,drone,80,22,22,50.0,45.0,20.0,55.0,37.27272727272727,37.5,beta=3.0,50.0
RQ3,drone,85,22,22,50.0,45.0,25.0,50.0,37.72727272727273,37.5,beta=3.0,37.5
RQ3,drone,90,22,22,50.0,45.0,20.0,55.0,36.59090909090909,37.5,beta=3.0,50.0
RQ3,drone,95,22,22,50.0,45.0,20.0,50.0,36.59090909090909,35.0,beta=3.0,45.0
RQ3,drone,99,22,22,50.0,45.0,20.0,50.0,34.77272727272727,35.0,beta=3.0,42.5
RQ3,fo_counters,0,22,22,30.0,30.0,15.0,40.0,29.09090909090909,30.0,beta=10.0,32.5
RQ3,fo_counters,5,22,22,30.0,30.0,10.0,35.0,21.136363636363637,20.0,beta=10.0,32.5
RQ3,fo_counters,10,22,22,30.0,30.0,10.0,35.0,18.40909090909091,15.0,beta=10.0,25.0
RQ3,fo_counters,15,22,22,30.0,30.0,5.0,30.0,16.818181818181817,15.0,beta=10.0,22.5
RQ3,fo_counters,20,22,22,30.0,30.0,5.0,30.0,17.954545454545453,15.0,beta=10.0,30.0
RQ3,fo_counters,25,22,22,30.0,30.0,10.0,25.0,16.136363636363637,15.0,beta=10.0,22.5
RQ3,fo_counters,30,22,22,30.0,30.0,5.0,30.0,16.59090909090909,15.0,beta=10.0,27.5
RQ3,fo_counters,35,22,22,30.0,30.0,10.0,30.0,15.681818181818182,15.0,beta=10.0,22.5
RQ3,fo_counters,40,22,22,30.0,30.0,10.0,30.0,16.59090909090909,15.0,beta=10.0,22.5
RQ3,fo_counters,45,22,22,30.0,30.0,10.0,30.0,16.818181818181817,15.0,beta=10.0,20.0
RQ3,fo_counters,50,22,22,30.0,30.0,5.0,25.0,16.363636363636363,15.0,beta=10.0,22.5
RQ3,fo_counters,55,22,22,30.0,30.0,10.0,30.0,16.59090909090909,15.0,beta=10.0,27.5
RQ3,fo_counters,60,22,22,30.0,30.0,10.0,25.0,16.363636363636363,15.0,beta=10.0,22.5
RQ3,fo_counters,65,22,22,30.0,30.0,5.0,30.0,16.59090909090909,15.0,beta=10.0,22.5
RQ3,fo_counters,70,22,22,30.0,30.0,10.0,30.0,15.681818181818182,15.0,beta=10.0,22.5
RQ3,fo_counters,75,22,22,30.0,30.0,10.0,30.0,16.136363636363637,15.0,beta=10.0,25.0
RQ3,fo_counters,80,22,22,30.0,30.0,10.0,25.0,16.818181818181817,15.0,beta=10.0,22.5
RQ3,fo_counters,85,22,22,30.0,30.0,10.0,30.0,17.045454545454547,15.0,beta=10.0,25.0
RQ3,fo_counters,90,22,22,30.0,30.0,5.0,25.0,15.0,15.0,beta=10.0,22.5
RQ3,fo_counters,95,22,22,30.0,30.0,5.0,30.0,16.818181818181817,15.0,beta=10.0,27.5
RQ3,fo_counters,99,22,22,30.0,30.0,10.0,30.0,17.045454545454547,15.0,beta=10.0,25.0
RQ3,rover,0,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=30.0,20.0
RQ3,rover,5,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=30.0,20.0
RQ3,rover,10,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=30.0,20.0
RQ3,rover,15,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=30.0,20.0
RQ3,rover,20,22,22,20.0,35.0,20.0,20.0,20.0,20.0,beta=30.0,20.0
RQ3,rover,25,22,22,20.0,35.0,20.0,25.0,20.227272727272727,20.0,beta=30.0,20.0
RQ3,rover,30,22,22,20.0,35.0,20.0,25.0,20.227272727272727,20.0,beta=30.0,22.5
RQ3,rover,35,22,22,20.0,35.0,20.0,30.0,20.681818181818183,20.0,beta=30.0,27.5
RQ3,rover,40,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,45,22,22,20.0,35.0,20.0,25.0,20.681818181818183,20.0,beta=30.0,25.0
RQ3,rover,50,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,55,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,60,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,65,22,22,20.0,35.0,20.0,25.0,20.681818181818183,20.0,beta=30.0,25.0
RQ3,rover,70,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,75,22,22,20.0,35.0,20.0,25.0,20.681818181818183,20.0,beta=30.0,25.0
RQ3,rover,80,22,22,20.0,35.0,20.0,25.0,20.681818181818183,20.0,beta=30.0,25.0
RQ3,rover,85,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,90,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
RQ3,rover,95,22,22,20.0,35.0,20.0,30.0,20.681818181818183,20.0,beta=30.0,27.5
RQ3,rover,99,22,22,20.0,35.0,20.0,25.0,20.454545454545453,20.0,beta=30.0,25.0
