domain,value_head,seed,training_job_id,training_log,log_exists,policy_gradient_l2,weighted_anchor_gradient_l2,policy_anchor_gradient_cosine,decomposed_anchor_gradient_available,classification
counters,on,1963100312,20430427,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430427_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10T_src20401268_e0204.txt,true,false,false,false,false,decomposition_unavailable
counters,on,1972442430,20430436,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430436_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10T_src20401277_e0001.txt,true,false,false,false,false,decomposition_unavailable
counters,on,2011206605,20430428,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430428_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10T_src20401269_e0009.txt,true,false,false,false,false,decomposition_unavailable
counters,on,2082152039,20430433,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430433_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10T_src20401274_e0097.txt,true,false,false,false,false,decomposition_unavailable
counters,on,534933607,20430432,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430432_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10T_src20401273_e0011.txt,true,false,false,false,false,decomposition_unavailable
counters,on,923500475,20430435,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430435_Re-Tr_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10T_src20401276_e0002.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1073581256,20451800,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451800_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10T_src20401209_e0090.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1239739722,20430373,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430373_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10T_src20401210_e0051.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1472491096,20451801,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451801_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10T_src20401212_e0092.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1510771779,20430375,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430375_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10T_src20401215_e0016.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1963100312,20451799,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451799_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10T_src20401207_e0157.txt,true,false,false,false,false,decomposition_unavailable
drone,off,1972442430,20451803,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451803_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10T_src20401217_e0067.txt,true,false,false,false,false,decomposition_unavailable
drone,off,2011206605,20430372,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430372_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10T_src20401208_e0040.txt,true,false,false,false,false,decomposition_unavailable
drone,off,2082152039,20430374,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430374_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10T_src20401214_e0038.txt,true,false,false,false,false,decomposition_unavailable
drone,off,534933607,20451802,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451802_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10T_src20401213_e0069.txt,true,false,false,false,false,decomposition_unavailable
drone,off,923500475,20430376,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430376_Re-Tr_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10T_src20401216_e0001.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1073581256,20431946,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20431946_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10T_src20401199_e0118.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1239739722,20430367,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430367_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10T_src20401200_e0023.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1472491096,20430368,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430368_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10T_src20401201_e0021.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1510771779,20430370,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430370_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10T_src20401204_e0014.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1963100312,20430365,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430365_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10T_src20401197_e0001.txt,true,false,false,false,false,decomposition_unavailable
drone,on,1972442430,20430371,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430371_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10T_src20401206_e0021.txt,true,false,false,false,false,decomposition_unavailable
drone,on,2011206605,20430366,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430366_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10T_src20401198_e0019.txt,true,false,false,false,false,decomposition_unavailable
drone,on,2082152039,20430369,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430369_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10T_src20401203_e0026.txt,true,false,false,false,false,decomposition_unavailable
