seed,selected_epoch,policy_score,tie_break,instance,instance_number,policy_steps,search_steps,first_divergence_decision,policy_action_at_divergence,search_action_at_divergence,terminal_cause,selection_mechanism,search_status,elapsed_seconds,policy_log,search_completion_log,search_text_log
2082152039,12,35,action_id,fz_instance_25.pddl,24,1008,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,4301.064646990038,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_26.pddl,25,1067,10000,1,increment c8,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,2390.232009437983,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_27.pddl,26,1127,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,1920.6454764039954,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_28.pddl,27,1188,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,2624.514308945043,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_29.pddl,28,1250,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,2085.8087242170004,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_30.pddl,29,1315,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,2981.047537531005,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_31.pddl,30,1379,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,4893.857927117031,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_32.pddl,31,1452,10000,1,increment c8,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,9824.362869250006,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_33.pddl,32,1560,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,14365.094951343955,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
2082152039,12,35,action_id,fz_instance_34.pddl,33,1712,10000,1,increment c9,increment c1,ordinary_10000_action_cap,early_action_id_divergence_root_topology_unobserved,finished_unsolved,7079.194581200951,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9_action_id_2082152039.txt
